[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:44:31] #0845/02770 | true=shuffle | pred=walk | ✗ | ent=0.624 conf=0.850 gap=0.800
[2026-05-12 02:44:47] #0846/02770 | true=shuffle | pred=walk | ✗ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 02:45:17] #0847/02770 | true=shuffle | pred=stand | ✗ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 02:45:25] #0848/02770 | true=shuffle | pred=walk | ✗ | ent=0.859 conf=0.750 gap=0.600
[2026-05-12 02:45:41] #0849/02770 | true=shuffle | pred=walk | ✗ | ent=1.121 conf=0.650 gap=0.550
[2026-05-12 02:45:58] #0850/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:46:09] #0851/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-12 02:46:26] #0852/02770 | true=shuffle | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:46:33] #0853/02770 | true=shuffle | pred=run | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 02:47:05] #0854/02770 | true=shuffle | pred=stand | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:47:23] #0855/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:47:35] #0856/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.247 conf=0.480 gap=0.130
[2026-05-12 02:48:07] #0857/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:48:20] #0858/02770 | true=shuffle | pred=stand | ✗ | ent=0.523 conf=0.870 gap=0.777
[2026-05-12 02:48:48] #0859/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 02:49:22] #0860/02770 | true=shuffle | pred=stand | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 02:49:22]   [860/2770] acc=57% filt=628
[2026-05-12 02:49:57] #0861/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-12 02:50:09] #0862/02770 | true=shuffle | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.810
[2026-05-12 02:50:12] #0863/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:50:50] #0864/02770 | true=shuffle | pred=stand | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:51:06] #0865/02770 | true=shuffle | pred=walk | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 02:51:14] #0866/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:51:44] #0867/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:51:54] #0868/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-12 02:51:58] #0869/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.985 conf=0.490 gap=0.040
[2026-05-12 02:52:12] #0870/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:52:26] #0871/02770 | true=shuffle | pred=walk | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 02:52:40] #0872/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:53:03] #0873/02770 | true=shuffle | pred=stand | ✗ | ent=0.668 conf=0.850 gap=0.800
[2026-05-12 02:53:05] #0874/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 02:54:06] #0875/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.170 conf=0.650 gap=0.470
[2026-05-12 02:54:33] #0876/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:55:06] #0877/02770 | true=shuffle | pred=walk | ✗ | ent=0.694 conf=0.850 gap=0.810
[2026-05-12 02:55:18] #0878/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.342 conf=0.550 gap=0.300
[2026-05-12 02:55:56] #0879/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.371 conf=0.500 gap=0.200
[2026-05-12 02:56:05] #0880/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-12 02:56:05]   [880/2770] acc=57% filt=644
[2026-05-12 02:56:22] #0881/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.110 conf=0.630 gap=0.390
[2026-05-12 02:56:36] #0882/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:57:00] #0883/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:57:04] #0884/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:57:18] #0885/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:57:29] #0886/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.118 conf=0.500 gap=0.100
[2026-05-12 02:58:28] #0887/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:58:33] #0888/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.366 conf=0.300 gap=0.000
[2026-05-12 02:59:42] #0889/02770 | true=shuffle | pred=stand | ✗ | ent=0.704 conf=0.820 gap=0.740
[2026-05-12 03:00:14] #0890/02770 | true=shuffle | pred=walk | ✗ | ent=1.029 conf=0.750 gap=0.700
[2026-05-12 03:00:23] #0891/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:00:51] #0892/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:01:47] #0893/02770 | true=shuffle | pred=stand | ✗ | ent=0.617 conf=0.850 gap=0.760
[2026-05-12 03:01:55] #0894/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:02:16] #0895/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:02:23] #0896/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:02:53] #0897/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:03:13] #0898/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:03:26] #0899/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:04:03] #0900/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-12 03:04:03]   [900/2770] acc=57% filt=660
[2026-05-12 03:04:10] #0901/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 03:04:20] #0902/02770 | true=shuffle | pred=stand | ✗ | ent=0.358 conf=0.900 gap=0.810
[2026-05-12 03:04:40] #0903/02770 | true=shuffle | pred=stand | ✗ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 03:04:54] #0904/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.856 conf=0.800 gap=0.730
[2026-05-12 03:04:56] #0905/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.680 conf=0.250 gap=0.000
[2026-05-12 03:05:10] #0906/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:05:22] #0907/02770 | true=shuffle | pred=walk | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:06:43] #0908/02770 | true=shuffle | pred=stand | ✗ | ent=0.958 conf=0.750 gap=0.630
[2026-05-12 03:07:06] #0909/02770 | true=shuffle | pred=walk | ✗ | ent=1.575 conf=0.450 gap=0.250
[2026-05-12 03:07:22] #0910/02770 | true=shuffle | pred=sit | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 03:08:27] #0911/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:08:59] #0912/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 03:09:32] #0913/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.906 conf=0.470 gap=0.000
[2026-05-12 03:09:48] #0914/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:10:00] #0915/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.710 conf=0.300 gap=0.050
[2026-05-12 03:10:12] #0916/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:10:24] #0917/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:10:31] #0918/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:12:02] #0919/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:12:32] #0920/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:12:32]   [920/2770] acc=57% filt=675
[2026-05-12 03:12:51] #0921/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:12:54] #0922/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.777 conf=0.490 gap=0.000
[2026-05-12 03:13:07] #0923/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.986 conf=0.470 gap=0.000
[2026-05-12 03:13:24] #0924/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 03:13:37] #0925/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:14:55] #0926/02770 | true=shuffle | pred=lying | ✗ | ent=0.947 conf=0.740 gap=0.620
[2026-05-12 03:15:09] #0927/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 03:15:14] #0928/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:15:29] #0929/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.102 conf=0.600 gap=0.350
[2026-05-12 03:15:38] #0930/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.985 conf=0.490 gap=0.040
[2026-05-12 03:16:11] #0931/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.163 conf=0.700 gap=0.620
[2026-05-12 03:16:52] #0932/02770 | true=shuffle | pred=stand | ✗ | ent=1.379 conf=0.450 gap=0.100
[2026-05-12 03:17:56] #0933/02770 | true=shuffle | pred=walk | ✗ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 03:18:26] #0934/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.665 conf=0.350 gap=0.150
[2026-05-12 03:18:54] #0935/02770 | true=shuffle | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 03:19:44] #0936/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 03:20:25] #0937/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.992 conf=0.700 gap=0.510
[2026-05-12 03:20:43] #0938/02770 | true=shuffle | pred=stand | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 03:20:59] #0939/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:21:18] #0940/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.375 conf=0.550 gap=0.350
[2026-05-12 03:21:18]   [940/2770] acc=57% filt=689
[2026-05-12 03:21:34] #0941/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:21:57] #0942/02770 | true=shuffle | pred=walk | ✗ | ent=1.135 conf=0.700 gap=0.620
[2026-05-12 03:22:09] #0943/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:22:32] #0944/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:23:02] #0945/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.484 conf=0.400 gap=0.150
[2026-05-12 03:23:45] #0946/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.257 conf=0.450 gap=0.100
[2026-05-12 03:24:21] #0947/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:24:40] #0948/02770 | true=shuffle | pred=stand | ✗ | ent=1.048 conf=0.680 gap=0.480
[2026-05-12 03:25:24] #0949/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.464 conf=0.400 gap=0.050
[2026-05-12 03:25:49] #0950/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:26:25] #0951/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.900 gap=0.880
[2026-05-12 03:26:54] #0952/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.330 conf=0.550 gap=0.350
[2026-05-12 03:27:02] #0953/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 03:28:02] #0954/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:28:10] #0955/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:28:24] #0956/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:28:27] #0957/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:28:45] #0958/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:29:01] #0959/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:29:10] #0960/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:29:10]   [960/2770] acc=57% filt=704
[2026-05-12 03:29:35] #0961/02770 | true=shuffle | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 03:30:16] #0962/02770 | true=shuffle | pred=sit | ✗ | ent=1.079 conf=0.650 gap=0.500
[2026-05-12 03:30:31] #0963/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:30:52] #0964/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.840 conf=0.780 gap=0.680
[2026-05-12 03:31:06] #0965/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.063 conf=0.550 gap=0.200
[2026-05-12 03:31:25] #0966/02770 | true=shuffle | pred=walk | ✗ | ent=1.041 conf=0.550 gap=0.330
[2026-05-12 03:32:05] #0967/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:32:51] #0968/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 03:33:03] #0969/02770 | true=shuffle | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:33:21] #0970/02770 | true=shuffle | pred=stand | ✗ | ent=1.326 conf=0.450 gap=0.100
[2026-05-12 03:33:51] #0971/02770 | true=shuffle | pred=stand | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 03:33:58] #0972/02770 | true=shuffle | pred=walk | ✗ | ent=0.976 conf=0.750 gap=0.680
[2026-05-12 03:34:17] #0973/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 03:34:28] #0974/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.931 conf=0.650 gap=0.370
[2026-05-12 03:34:42] #0975/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.412 conf=0.550 gap=0.370
[2026-05-12 03:35:16] #0976/02770 | true=shuffle | pred=walk | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:35:40] #0977/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:35:55] #0978/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:35:59] #0979/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:36:13] #0980/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 03:36:13]   [980/2770] acc=57% filt=722
[2026-05-12 03:36:25] #0981/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.543 conf=0.796 gap=0.599
[2026-05-12 03:36:44] #0982/02770 | true=shuffle | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 03:37:02] #0983/02770 | true=shuffle | pred=stand | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 03:37:10] #0984/02770 | true=shuffle | pred=walk | ✗ | ent=1.144 conf=0.620 gap=0.480
[2026-05-12 03:37:39] #0985/02770 | true=shuffle | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 03:38:14] #0986/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.529 conf=0.500 gap=0.350
[2026-05-12 03:38:23] #0987/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.871 conf=0.650 gap=0.350
[2026-05-12 03:38:38] #0988/02770 | true=shuffle | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 03:39:01] #0989/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:39:08] #0990/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:39:26] #0991/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:39:40] #0992/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:40:07] #0993/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.327 conf=0.550 gap=0.300
[2026-05-12 03:40:43] #0994/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.194 conf=0.400 gap=0.000
[2026-05-12 03:41:40] #0995/02770 | true=shuffle | pred=sit | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:42:02] #0996/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:42:26] #0997/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:42:37] #0998/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.265 conf=0.940 gap=0.900
[2026-05-12 03:42:45] #0999/02770 | true=shuffle | pred=sit | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 03:43:10] #1000/02770 | true=shuffle | pred=stand | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:43:10]   [1000/2770] acc=56% filt=739
[2026-05-12 03:43:46] #1001/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:44:45] #1002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 03:45:25] #1003/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:45:28] #1004/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:45:31] #1005/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.005 conf=0.550 gap=0.170
[2026-05-12 03:45:46] #1006/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.132 conf=0.650 gap=0.450
[2026-05-12 03:45:50] #1007/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.426 conf=0.450 gap=0.250
[2026-05-12 03:46:24] #1008/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:46:36] #1009/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.600 gap=0.450
[2026-05-12 03:46:53] #1010/02770 | true=shuffle | pred=run | ✗ | ent=0.699 conf=0.850 gap=0.810
[2026-05-12 03:47:18] #1011/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.682 conf=0.400 gap=0.220
[2026-05-12 03:47:22] #1012/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.110 conf=0.450 gap=0.000
[2026-05-12 03:47:43] #1013/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:48:23] #1014/02770 | true=shuffle | pred=walk | ✗ | ent=0.381 conf=0.932 gap=0.922
[2026-05-12 03:48:53] #1015/02770 | true=shuffle | pred=lying | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:49:20] #1016/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:49:45] #1017/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:50:07] #1018/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:50:18] #1019/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.537 conf=0.400 gap=0.150
[2026-05-12 03:51:05] #1020/02770 | true=shuffle | pred=sit | ✗ | ent=1.032 conf=0.720 gap=0.620
[2026-05-12 03:51:05]   [1020/2770] acc=57% filt=754
[2026-05-12 03:51:14] #1021/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.539 conf=0.450 gap=0.300
[2026-05-12 03:51:30] #1022/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:51:39] #1023/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.871 conf=0.780 gap=0.730
[2026-05-12 03:51:43] #1024/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:51:47] #1025/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:52:01] #1026/02770 | true=shuffle | pred=stand | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 03:52:21] #1027/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.526 conf=0.500 gap=0.350
[2026-05-12 03:52:28] #1028/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:52:44] #1029/02770 | true=shuffle | pred=stand | ✗ | ent=0.716 conf=0.830 gap=0.750
[2026-05-12 03:53:48] #1030/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.888 conf=0.250 gap=0.000
[2026-05-12 03:53:51] #1031/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:53:55] #1032/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:54:05] #1033/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:54:10] #1034/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:54:30] #1035/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:54:41] #1036/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:54:44] #1037/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.448 conf=0.350 gap=0.050
[2026-05-12 03:54:52] #1038/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:55:00] #1039/02770 | true=shuffle | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:55:09] #1040/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:55:09]   [1040/2770] acc=57% filt=767
[2026-05-12 03:55:34] #1041/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-12 03:55:38] #1042/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:56:08] #1043/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:56:42] #1044/02770 | true=shuffle | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:56:58] #1045/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:57:50] #1046/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:58:06] #1047/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 03:58:09] #1048/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:58:15] #1049/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:58:29] #1050/02770 | true=shuffle | pred=stand | ✗ | ent=0.608 conf=0.860 gap=0.780
[2026-05-12 03:59:11] #1051/02770 | true=shuffle | pred=stand | ✗ | ent=0.584 conf=0.870 gap=0.820
[2026-05-12 03:59:45] #1052/02770 | true=shuffle | pred=walk | ✗ | ent=1.550 conf=0.450 gap=0.200
[2026-05-12 03:59:59] #1053/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 04:00:19] #1054/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:00:42] #1055/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:00:46] #1056/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 04:01:00] #1057/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.217 conf=0.550 gap=0.250
[2026-05-12 04:01:07] #1058/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
